places,time,tweet
"Newton, MA",2021-01-15 16:51:02,How do you navigate #grief &amp; #loss in the middle of a global #pandemic? #Healthcarespeaker and bestselling author @Noraborealis explains on @NPR https://t.co/Re3Z67Ms0z #wellnes #COVID19
"Texas, USA",2021-01-15 16:51:02,"Better keep it that way, so we can defeat #COVID19. https://t.co/0jQgrKTe6s"
"Tallahassee, FL",2021-01-15 16:51:00,"Have you been searching for fun, low-stress activities that promote learning? Learn how we re-purposed resources for teachers into activities that can be conducted at home in our latest blog post. https://t.co/UD2BwB4p47 #Covid19 #socialdistancing #learningathome #parenthack"
CAFOD Liverpool,2021-01-15 16:51:00,"We're all feeling the impact of #COVID19 but as Pope Francis reminds us, the crisis is even harder for so many because of the unjust world that existed before.  
Let's tackle the other challenges that plague our common home. 
https://t.co/oFg5EDua59"
"Firenze, Italia",2021-01-15 16:51:00,"Need some weekend viewing? Look no further than @UNICEFInnocenti's fantastic #LeadingMinds series exploring the impacts of #COVID19 on children.

Watch @scrowe_unicef ask the pressing questions to experts on matters from #ClimateCrisis to #RemoteLearning 👉https://t.co/eGqAPjv68B https://t.co/Lj9vbZzx8x"
,2021-01-15 16:50:56,"Things will be better by 2022, right?

#COVID19 #vaccinationCovid https://t.co/W3gGThzI8K"
"Alabama, USA",2021-01-15 16:50:52,"The U.S. Department of Health and Human Services (HHS) will release new guidelines allowing physicians to more easily prescribe buprenorphine, a proven effective opioid addiction treatment, to patients.

#USA #health #COVID19 #USCapitol https://t.co/geARPzTfJw"
,2021-01-15 16:50:48,Millions of people in the Fifth District continue to collect unemployment insurance as the #COVID19 outbreak worsens. The Pandemic Pulse offers an updated look at this and other high-frequency indicators. https://t.co/O28iDqYYUQ https://t.co/vBRqDM1PtX
"125 E. Court St., Ithaca, NY",2021-01-15 16:50:45,"@TompkinsHealth Public Health Alert: potential #COVID19 public exposure at Aurora Shoe Repair, 111 N. Plain St. Ithaca.

https://t.co/X7Mt7U5EwK 

Seek testing with @cayugamed; register online at: https://t.co/vV6IAsxvCM. 

Continue to monitor your health for symptoms.

#Twithaca https://t.co/BlbkbGqsRS"
South Wales,2021-01-15 16:50:43,"‘Highly contagious’ Brazilian #Covid19 variant detected in UK, says leading virologist, as South America travel ban comes into force — RT UK News https://t.co/fe86gUYGly can it be as bad as our own world beating, take it on the chin, moon-shot #PlagueIsland variant"
India,2021-01-15 16:50:38,"#SwasthyaMantra | One day to go for India’s massive #COVID19 vaccination drive. NDTV speaks with @SerumInstIndia's @adarpoonawalla to know all about one of the approved vaccines in the country - Covishield

#BanegaSwasthIndia: https://t.co/1VE9xst4Ig https://t.co/tXjq4Jm0E4"
Planet Earth,2021-01-15 16:50:36,Marginal Notes on the Epidemic as Politics - Reblogged from @illwilleditions - Read more: https://t.co/VU6aWOqN2L #COVID19 #Lockdown #antireport https://t.co/AaTnkzdLD2
"Sheffield, UK",2021-01-15 16:50:35,"IMPORTANT. Convalescent plasma is of no benefit in #COVID19. 10,406 patient RCT as part of RECOVERY platform. 1873 deaths. 28 day mortality in plasma group 18% and in standard of care group 18%. Very disappointing but shows the value of large RCTs. @EricTopol @DrEricDing"
"Ha Noi, Viet Nam",2021-01-15 16:50:32,National Steering Committee for #COVID19 Prevention &amp; Control ordered subordinate levels to strictly control borders to prevent illegal entrants https://t.co/J5qElLxKbg https://t.co/DL6Zyjk20Y
"New Jersey, USA",2021-01-15 16:50:32,"The #COVID19 pandemic has highlighted another escalating #publichealth emergency; obesity...       
Obese individuals have a higher risk of suffering complications from #COVID19 while also being vulnerable to diabetes, heart disease &amp; stroke"
"Raleigh, NC",2021-01-15 16:50:32,"More Than 10,000 North Carolina Students Unaccounted For #nced #covid19
https://t.co/NYb7geHsdX"
"Dublin, Ireland",2021-01-15 16:50:29,Good Friday! Some St. Michael's House staff teams are experiencing the #COVID19 vaccination process . @HSELive https://t.co/tUv7ZMQk30
CHICAGO,2021-01-15 16:50:26,"Accelerating a community’s recovery during #COVID19 takes targeted communications founded in an understanding of the effectiveness different forms of communication bring...how people interact and engage with information. 
https://t.co/Pg5CDB1aeC"
"Anywhere the money at, USA",2021-01-15 16:50:25,"My biggest concern with this Covid shit is big pharma just devises treatment instead of cure in efforts to keep cash coming in. I know how this shit works and it's worrying, dollars are ALWAYS their bottom line #RandomThoughts #COVID19"
Bomboclaat,2021-01-15 16:50:21,"What the Federal Government of #Brazil /their partisans have done so far about #COVID19 

—Condemn the use of masks and/or social distancing while promoting gatherings
—Undermine possible vaccination efforts
—Advise the use of medications with zero efficiency as ""early treatment"""
Bomboclaat,2021-01-15 16:50:21,"This is not ""misfortune"" or ""#COVID19 reality of a 3rd world country"".

#Brazil is—or was—a strong economy and despite several imbalances, the truth is: we never lived under a shortage of very essential/life saving resources of this magnitude. Not in larger cities such as Manaus"
Bomboclaat,2021-01-15 16:50:20,"There's no more oxygen in Manaus, #Brazil .The hospitals are needing to beg it from other cities—also with very low/no stocks—and countries. So who goes into ICU with #COVID19 now have (roughly) 95% of chance to die. The about 5% of survivors will sustain brain damage. https://t.co/bhRNoasVGj"
,2021-01-15 16:50:18,@catturd2 #COVID19 is end Because election is over
"Guelph, Ontario",2021-01-15 16:50:18,"In the last 24 hrs, 100 people have died from #COVID19 in Ontario. The Ford govt needs to put an end to the personnel distractions, recall the Leg to pass a bill to implement paid sick days and provide the leadership Ontarians deserve. #onpoli"
"Milan, Italy",2021-01-15 16:50:18,"@DailyMailUK @MailOnline A new Stanford study on worldwide #COVID19 responses ""[failed to find an additional benefit of stay-at-home orders and business closures.""

Put simply, lockdowns DON'T work. See for yourself:
https://t.co/EcSOrEuYBB"
New Orleans,2021-01-15 16:50:15,"There will also be a temporary #COVID19 memorial at the gates in front of Gallier Hall where citizens are encouraged to leave flowers, cards, photographs, or tokens in remembrance of their loved ones beginning this weekend. Please share with those who might like to participate. https://t.co/nxsBPUvshQ"
🌦 St Georges Land 🌫,2021-01-15 16:50:14,"Finished my shift without anyone dying! I cannot believe our bar has gone so low now. 🙁

#covid19 #nhs #whenwillthisend #nightmare"
"Yorkshire, UK",2021-01-15 16:50:09,It feels like life is on hold but staying at home is a small sacrifice. To those on the front line &amp; people who've lost love ones it must feel like hell.Its taught me to be grateful each day for what I have &amp; those who protect us #coronavirus #CovidUK #covid19 #pandemic #lockdown
New York City,2021-01-15 16:50:08,"The #COVID19 vaccines are safe and effective – they have gone through large clinical studies involving tens of thousands of people. 

Get more vaccine facts from @nycHealthy: https://t.co/SF10a6N2I2 https://t.co/GLBfv2ktO5"
Brighton,2021-01-15 16:50:08,"Following the introduction of the new lockdown last week, Peter looks at the coronavirus related financial support schemes that are still available to businesses and other taxpayers in his update blog.
 
Check it out here&gt; https://t.co/fJXcIOu8Hz 

#Brighton #COVID19 https://t.co/Ijd4LmjYHF"
,2021-01-15 16:50:07,"From construction to water quality to food security, #COVID19 related shutdowns affect our world. Two interactive dashboards now use @NASAEarth observations - and show these short-term changes to Earth’s environment. https://t.co/OTtRdJ2Ds4"
"Seattle, Washington",2021-01-15 16:50:07,"The ability to adapt and change course has kept businesses alive in the era of #Covid19. We spoke with a #personaltrainer on how she kept herself employed. She shares her insights on how she did it, and what she recommends for others. 🏃🏾https://t.co/i9ZTmn6E5A"
Ottawa,2021-01-15 16:50:07,"An investigative story from @CBCNews Hidden camera reveals 'appalling' conditions in overseas PPE factory supplying Canadian hospitals, expert says  https://t.co/FyUCVvbwYE #COVID19 #ForcedLabour"
"Atlanta, GA",2021-01-15 16:50:07,"#Covid19 infections have passed 3.1 million in Africa, with more than 74,600 deaths occurring over the course of the pandemic. Still, initial deliveries of the vaccine are many weeks away. | via @TRF_Stories #COVAX https://t.co/5DDhFVGE41"
New Orleans,2021-01-15 16:50:06,"We have officially administered 1,500 first doses of the #COVIDvaccine to our frontline employees. 🎉 Donna Wallace, Emergency Room RN, was our 1,500 first dose vaccine this morning! Thank you, Donna, for rolling up your sleeve and helping us end #COVID19! #SleevesUpLA https://t.co/wvSP3C0YMA"
"Scarborough Village, Toronto",2021-01-15 16:50:06,"OUTSIDE of medical community

It is ONLY men who keep saying there is a ""Vaccine Shortage"" in Canada over and over and over again

Just sayin' #cdnpoli #covid19 https://t.co/sJqHngwRVc"
"North West, England",2021-01-15 16:50:04,"@UKCovid19Stats It really is grim. ""Keeping the deaths under 20,000"" would be good. 

It looks we will hit 100,000 deaths before the end of the month at this rate! #COVID19"
,2021-01-15 16:50:04,"Currently, #remoteworking is largely a reaction to #COVID19, but it's time for #business leaders to review and adjust their approach, taking into account employee preferences &amp; long-term sustainability. @KateBravery weighs in. #FutureofWork #DavosAgenda https://t.co/TGX7A27cs3 https://t.co/CfTyuCtJ6a"
,2021-01-15 16:50:04,"There are currently 170 #education #innovations featured on the #COVID19 Innovation Hub—including @ShuleDirect, which creates digital education content via web and mobile platforms for students, teachers, and communities. 

Learn more. https://t.co/eBOqUh98OM https://t.co/dXuD0wyjht"
Washington D.C.  U.S.A.,2021-01-15 16:50:00,"The #COVID19 pandemic has prompted a wave of mistrust in all institutions including government, business and the media, according to this year’s @EdelmanPR Trust Barometer: https://t.co/muptrd185g via @PRWeekUS https://t.co/g8kyuC3k1d"
New Delhi,2021-01-15 16:50:00,#US President-elect #JoeBiden (@JoeBiden) on Friday named health policy expert #VidurSharma as the testing adviser on his #Covid19 Response Team. https://t.co/0KblmIYqVF
"Western Massachusetts,🇺🇸🇵🇦",2021-01-15 16:49:59,"Challenging the spread of #COVID19 in Thailand: ""The implementation of interventions, such as governmental regulation and restrictions, through collaboration among various sectors was the key factor for controlling the spreading of COVID19 in Thailand."" https://t.co/F2V1PAvIf1"
,2021-01-15 16:49:54,"@ollyferraz @BBCNews If you would only listen, death figure has a caveat of '28 days of a + #COVID19 test' Scaremongering or not, I doubt you want anyone you know to become one of those deaths #COVIDIOTS"
Beirut,2021-01-15 16:49:53,"#COVID19 report for Friday, Jan. 15: 

‣ 6,154 people have tested positive 

‣ 28.3% of local PCR tests were positive 

‣ 681 people were in ICU

‣ A record 44 people have died, bringing the death toll to 1,825"
"Toronto, ON",2021-01-15 16:49:53,"Day 2 of Lockdown 2.0 and @fordnation still hasn’t restored the paid sick days he took from Ontario’s most vulnerable workers in 2018. But sure, stay home, friends. #onpoli #COVID19"
"London, England",2021-01-15 16:49:52,"This weekend please stay at home, protect the NHS, save lives.

We’ll be continuing high-visibility patrols across the network, ensuring those who need to use the railway can do so safely.

#COVID19 https://t.co/1JP76Pcz0B"
"London, England",2021-01-15 16:49:51,"Hello Mukuru, just concerned is there no solution to this at all? Is this not a heavy spreader event? @nickmangwana  #COVID19 #Zimbabwe #lockdown #UgandaElections https://t.co/oYYdVtqNuG"
"Wiltshire, UK",2021-01-15 16:49:49,Our Deputy Chief Constable will be discussing #COVID19 &amp; our policing approach to it on tonight’s @itvwestcountry #StayHomeSaveLives
Newcastle ,2021-01-15 16:49:43,"@greenaway71 , so sorry you are still poor #COVID19 is a nasty virus . Take care and enjoy your treats https://t.co/jdu1XtlxHg"
"Boca Raton, FL",2021-01-15 16:49:42,For All You Whores Who Couldn’t Stay Home For MLK.... Be Safe Out There 💯 #COVID19 Is to kill its highest number of folk over the course of the next two weeks .....
Saudi Arabia,2021-01-15 16:49:42,"#BREAKING: Iraq reports 10 #coronavirus deaths and 805 new infections #COVID19 
https://t.co/ApbwqXRaZo https://t.co/7LoMkHVHsL"
Cairo /Amman /Beirut /Geneva,2021-01-15 16:49:36,Another impressive step in #Jordan in the fight against #COVID19 https://t.co/oEEFYMOgXv
"Sunnyvale, CA",2021-01-15 16:49:33,"#Coronavirus #COVID19 Hours are down, worry and tips are up: What it's like to be a food delivery driver during the Covid-19 pandemic - CNBC https://t.co/QHYMR9JioS CROSSLINKER"
"Nottingham, MD",2021-01-15 16:49:32,"The #Maryland Department of Health on Friday reported that the statewide #COVID19 positivity rate fell and total hospitalizations dropped over the past week...

https://t.co/cHXnT6NXvP"
"Pennsylvania, USA",2021-01-15 16:49:31,"11 Business Ideas to Launch During a Pandemic

https://t.co/fQPkGlmr4k

#business #startups #COVIDー19 #COVID19 #help"
"Abuja, Nigeria",2021-01-15 16:49:30,"If wearing a mask is not comfortable, being on a ventilator is far more uncomfortable.

The risk is higher if you do not protect yourself.

Wear your face mask properly, use hand sanitizer, and maintain physical life.

STAY SAFE!
COVID19 IS REAL!

#COVID19 https://t.co/k5y3jBOSTD"
,2021-01-15 16:49:30,Many politicians are concerned that #coronavirus will have a serious negative impact on the economy? But is it so? Or it’s because of the present #economy itself is in bad design. #Covid19  https://t.co/tHaTQ3xTnz https://t.co/ttjS6RzIzB
"Lawrenceburg, TN",2021-01-15 16:49:26,How are you feeling? Join a movement - report your symptoms to https://t.co/ruybEEHDn2 to help #publicHealth track the #COVID19Pandemic. https://t.co/Eg3jRobWRR #PublicHealthTrack #COVID19 #COVID19Pandemic
"San Leandro, CA",2021-01-15 16:49:22,"#Covid19 vaccination was an opportunity 4 Kaiser 2 shine. Instead, it has created a competition among members 4 appointments. Lack of organization &amp; communication is shocking. KP should be contacting its oldest &amp; most vulnerable members &amp; schedule vaccinations @kpeastbayarea https://t.co/ZKaq17cLIc"
Croatia,2021-01-15 16:49:15,"https://t.co/IF1aLFXbZU

Literally free money ($43) for watching a few short videos and answering simple questions. 4 ENTRIES LEFT‼‼‼
#crypto #bitcoin #btc #eth #ethereum #doge #dogecoin #Stellar #cryptocurrency #Band #COVID19 #cryptocurrencies #ADA #BCH #onepiece1001 #Rutte"
,2021-01-15 16:49:14,Pelosi isn't making promises she can't keep (Full Employment? 2022) Why say that? #insurrection #ImpeachTrump #COVID19
Canada,2021-01-15 16:49:13,"@RudyCuzzetto @JohnWHarris15 IMO:
• you are right: provs have and will scale up to administer many X more vaccine doses
• feds did a good job with those seven agreements, four of which appear likely to be authorized
• given #Covid19 health, economic, social impacts Sept is too slow 

Let’s roll #cdnpoli"
Ealing Borough,2021-01-15 16:49:13,"🚨 The Tory plan for Ealing in 2021 is simple – pay more get less 🚨

The Tories want a huge council tax rise &amp; to force cuts to services because they have broken their promise to cover the cost of #COVID19 

https://t.co/J89OOaU6PO"
"Bradford-on-Avon, England",2021-01-15 16:49:11,"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if you feel well 🙏. Download the app https://t.co/g1HRNSu2pf"
"Berlin, Germany",2021-01-15 16:49:11,"Yesterday, @WHO’s #covid19 emergency committee was convened two weeks early ""to review the emerging variants of #SARSCoV2 .. and to consider the potential use of vaccination and testing certificates for international travel.”
Their statement is out now: https://t.co/SUGL6b7hZt"
"Columbus, OH",2021-01-15 16:49:09,"We're lined up and ready to go! Today, #OSUWexMed will vaccinate 400 frontline workers as part of the soft launch of our mass #COVID19 vaccination site at @TheSchott. 💉 💪 

#TogetherAsBuckeyes #InThisTogetherOhio https://t.co/x92yyw5oBa"
USA,2021-01-15 16:49:02,"Brown: Oregon won't be receiving expected doses next week

(Via KOIN) #Oregon #COVID19 #COVID19vaccines #COVID19TIMELINES  https://t.co/YGamtuVeQH"
"West Palm Beach, Florida",2021-01-15 16:49:00,"As the #COVID19 lockdown continues in the US, it has challenged all relationships in a significant way so be sure to check in with your loved ones. Starting the conversation is often the hardest part, so check out my tips on communicating in relationships: https://t.co/zUuGESdiSH https://t.co/Hj0TZHwl6p"
"Oakland, CA",2021-01-15 16:48:59,"More than a third (34.6%) of over 80s vaccinated against #COVID19 in England by Jan 10. 

What lessons can 🇺🇸learn from🇬🇧? 

https://t.co/xetDl4bniv"
,2021-01-15 16:48:57,"“My message has been: the #vaccine is so important to protect other people, who aren’t eligible.” (At the moment, anyone immunocompromised or aged under 18 can’t get the vaccine.)"" Protecting others is a strong ethic in #NWT #Denendeh. #Covid19 https://t.co/Dm2Iy5kxCS https://t.co/YdDKETg0rs"
"Basingstoke, England",2021-01-15 16:48:55,Check out this first-person educational game created by Games Design students &amp; staff @LambethCollege. An immersive experience for students &amp; staff to explore &amp; discuss #mentalhealth and #digitalliteracy within the context of the #COVID19 pandemic. #edtech #edchat https://t.co/jdK8cpYbcY
The Bronx,2021-01-15 16:48:55,Mott Haven Leading The Revival Of South Bronx... #NewBronx #COVID19 #Pandemic #Poverty #SouthBronx #BronxJobs #Not62 #NewYorkCity #USA https://t.co/osExCuHQGT
"Syracuse, NY",2021-01-15 16:48:54,YES!!!!!!!  As a longtime fan of @ltgrusselhonore - I was hoping he'd be involved in either this or #COVID19 vaccine response.  He was an amazing leader during Katrina.  So happy about this! https://t.co/socf6zjLVf https://t.co/ngGrBXRiTK
"London, United Kingdom 🇬🇧",2021-01-15 16:48:49,"#COVID19 well, who knew we’d get to this after 381 days since the first case. 2 million deaths in the world. It’s  honestly so sobering and heart-breaking just to see the lost of life in the pandemic. Let’s hope this year can go better. For 15th Jan 2021. https://t.co/aQiZpwUQdQ"
New Orleans,2021-01-15 16:48:44,The Presidential Inaugural Committee has invited @CityOfNOLA to participate in President-Elect @JoeBiden's upcoming #COVID19 memorial ceremony on 1/19. The City will be placing white flags at Lafayette Square to commemorate New Orleanians lost due to the pandemic. https://t.co/R3eSazJi0H
"England, United Kingdom",2021-01-15 16:48:23,"Chris Whitty has been busy, he looks like sh*t
#COVID19 https://t.co/mqUv0FtXoA"
New Jersey,2021-01-15 16:48:19,"‘Please do not call.’ One of N.J.’s largest medical groups asks people to stop asking for COVID vaccine. #nj #CovidVaccine #coronavirus #COVID19 
https://t.co/HHODogKRU8"
South Africa,2021-01-15 16:48:19,"Social Media Attorneys have been warned! 👩‍⚖️
@ZacMoselane @Chymamusique @AttAllianceSA @khayadlanga
#StateCaptureCommission #ZondoCommission #schoolsreopening #StateCapture #COVID19 https://t.co/TU5jciNvSU"
"New Jersey, USA",2021-01-15 16:48:19,@itripnet @vrbo @itripnet @vrbo yes and now I can’t rent from you?  After being told verbally from property manager Robbie don’t worry about 30 day cancellation window bc of Covid #cysticfibrosis #COVID19
"Westbury, NY",2021-01-15 16:48:19,"#COVID infection provides some #immunity for at least five months, UK study finds https://t.co/gWcsTjgWVk #COVID19 #coronavirus #MSSNY"
"Tyrone, PA",2021-01-15 16:48:18,💉A temporary waiver approved by @GovernorTomWolf will allow Pennsylvania pharmacists to order and administer #COVID19 vaccines without a physician’s order when the shots are available to the public. https://t.co/L5NvPzHbjF https://t.co/UULL3MzbUC
"Las Vegas, Nevada",2021-01-15 16:48:18,"#NVNationalGuard answering the call 🇺🇸 in homefront #COVID19 #USA pandemic war 😷 the Nevada National Guard, is expected eventually to be able to immunize several thousand people per day. ~ ⁦⁦@MaryHynes1⁩ 👇🏽 https://t.co/xn5lNHKkRq"
Windsor Castle,2021-01-15 16:48:15,@SaintRobin911 Do you want to switch your place with an elite person? #COVID19
Nottingham\Islington\Ashford,2021-01-15 16:48:13,"@JohnEJefferson Wow, Sting @OfficialSting is not going to be happy with #COVID19 being so rife I hope that does not include ""Don't stand so close to me"""
Santa Fe,2021-01-15 16:48:12,"Some who stormed the Capitol have been prominent purveyors of #Covid19 falsehoods

Mikki Willis helped make 'Plandemic' claims Dem elites use virus &amp; vaccine for profit, power

Simone Gold in viral video on SCOTUS steps promoting misleading Covid claims

https://t.co/RYQafF5u18"
"Devon, England, United Kingdom",2021-01-15 16:48:08,"@JoeBiden Sorry I've been sorta sleepy so far. 

#SleepyJoe has a rescue package for #COVID19 if he ever wakes up. https://t.co/tdtBd0pHvy"
,2021-01-15 16:48:07,New in JMIR: Unfolding the Determinants of #COVID19 #coronavirus #Vaccine Acceptance in China https://t.co/cJL8m4enAO https://t.co/hf7dHeZnZm
The North of England,2021-01-15 16:48:07,"#Sweden has added another 4,710 new #Covid19 cases to its total.

That's significantly lower than this time last week when there were over 7,000 new infections.

Infection rate has fallen to 482 AD/M"
Cambridge Biomedical Campus,2021-01-15 16:48:07,"Our Staff Appreciation Station is up and running, providing food and drink and displaying messages of support to show staff how grateful we are to them 

Thank you for helping us care for our staff when they need us the most:
https://t.co/XAo200b73p

#COVID19 #StaffAppreciation https://t.co/roIdQYCtdn"
South Carolina,2021-01-15 16:48:06,"The #SCGuard increased the number of #COVID19 vaccination locations to four sites the week of Jan. 11 with the addition of the Medical University of South Carolina (MUSC) Lancaster and Chester.
https://t.co/JbAgpXKOUO #NationalGuard #InThisTogether"
"Downtown, Vancouver",2021-01-15 16:48:05,Pfizer-BioNTech cutting back vaccine deliveries to Canada due to production issues | via ⁦@nationalpost⁩ #cdnhealth #covid19 #cdnpoli  https://t.co/WKYTtM15qR
"Reston, VA",2021-01-15 16:48:04,"We’re proud to have partnered with @fairfaxhealth to discuss #COVID19 vaccine decision-making with #NoVA African-American, Hispanic and Native American communities. 33 adults and 29 children participated in a focus group as part of a 5-month national study. https://t.co/kJPsmO4y9x"
San Francisco area,2021-01-15 16:48:04,'Natural Compounds Identified With @HPE_HPC in #COVID19 Therapeutic Testing' https://t.co/2WVytWgKab https://t.co/0g0pdMtEW9
United States,2021-01-15 16:48:04,"I'm really happy with Biden's package.

Trump couldn't erect a plan, and his response to Covid has been flacid.

#Biden 
#COVID19"
"Bargate, Southampton",2021-01-15 16:48:03,"This is First Class wrong-headed from Wales FM.

From the man that brought you a totally ineffective 2 week firebreak and said that clothes were not essential items, rather than get all the available jabs &amp; 70% immunity done ASAP, he is prolonging the crisis. #Wales #COVID19 https://t.co/wB5yPstvGP"
,2021-01-15 16:48:02,"From first recorded Covid case (UK)
To 1 million cases - 274 days
1 million to 2 million - 49 days
2 million to 3 million - 21 days

#COVID19"
Canada,2021-01-15 16:48:02,It’s time for #Nuremberg2 to address the crimes against humanity caused by government overreaction to #COVID19 https://t.co/qXmgRkmvkH
Toronto,2021-01-15 16:48:02,"India all set for world’s largest vaccination drive: Almost a year after reporting the first case of deadly coronavirus, which has claimed over 1.5 lakh lives in India till now, the country is set to witness a… https://t.co/BCKjOgdgxp #Covid19 #Featured #Health #India #NEWS"
"Doha, Qatar",2021-01-15 16:47:59,"My dad was so nervous with all the #vaccine rumors going around but finally took it alhamdlellah ❤️ 
#COVID19 https://t.co/W50rjrBOYt"
"New York, NY",2021-01-15 16:47:59,"CDC approved stickers and buttons.
Contact us for a free quote:
📞 516-932-8550
💬 516-806-6943
📧 info@rjspromogroup.com
#merch #swag 
#nychospitals
#vaccinated #covidvaccine #vaccination
#nyccovid19 #vaccinenyc #covidvacccine
#covid19  #covidlife #vaccine #NYC #vaccine
. https://t.co/oSw34Tl7Ns"
"South Africa, Gauteng",2021-01-15 16:47:59,"This country maybe needs a President who lives in the township, who's kids go to public schools, apply for jobs like the rest of us, no medical aid, uses public clinics and hospitals, no expense card, no free flights, maybe just maybe we'll be alright.🙏
#CyrilRamaphosa
#COVID19 https://t.co/UsAiEHeXDe"
"London, England",2021-01-15 16:47:54,"The NHS-led Keeping Well for Health and Care Workers webinar series is designed to support frontline workers in looking after their emotional health and wellbeing whilst helping others during #Covid19.

Watch now via the Thrive LDN website 👉 https://t.co/1tQHPQluy9 https://t.co/yrjND2CwdO"
"Broomfield, CO",2021-01-15 16:47:54,"This use of #simulation technology by @Dassault3DS  will help to assess potential sources of #covid19 transmission in large audience venues. In turn, venues can make changes to better support the safety of those within the venue.

https://t.co/H89TgQdOGe"
"Oxford, England",2021-01-15 16:47:54,"LISTEN: LCDS’s @melindacmills on @LBC today 07.25am (00.25). ”Avoid blaming the public. It needs clear consistent communication to trust #COVID19 rules. Numbers show we have a fundamentally different lockdown to March. More people are out there now. Why?”
https://t.co/Aa7fRAVT3l"
Hants,2021-01-15 16:47:53,"@DrJaninaRamirez @wmarybeard @bettanyhughes @TheFemaleGreer @PhilipPullman @BBCPolitics @afshinrattansi @SkyNews @Channel4News @jk_rowling ""a working Test and Trace system, financial and material support for people to enable them to isolate, and ensuring all workplaces which are open are certified #Covid19-Safe"" https://t.co/liHqd80uop"
"Jackson, MO",2021-01-15 16:47:52,"Please help if you can. 🙏🏻🙏🏻 Our water heater broke.  We can't bathe until we can get a plumber to put a new one in. It's going to be $1000.😢😞
Cashapp: $Jenn052192 
https://t.co/RC22ESPgde
#CashAppFriday #COVID19 #cryptocurrency #schoolsreopening @CashApp @gofundme @Chime #help"
Global∞,2021-01-15 16:47:50,"Hmmmm @latimes well it’s a good sign that  physically,  fit,  healthy  young people 🏋🏻‍♂️🤾🏻‍♀️⛹🏻‍♂️want to take the vaccine too,  something tells us it’s going to be record-breaking lines for vaccination in Los Angeles😂 #Hollywood #Fountainofyouth #COVID19 Seniors get  priority  first. https://t.co/Fmrb73tBul"
,2021-01-15 16:47:50,"[WATCH] Nosipho Nkantini was six months pregnant, when she was admitted to hospital with severe #COVID19 symptoms. She woke up days later after losing conscious convinced that her baby that had to be delivered by emergency C-section had died. https://t.co/XT2dhT7OyS"
"Mumbai, India",2021-01-15 16:47:49,"#SOS
#Pune
Need #Blood Type :  AB-positive
At : Ruby Hospital, Hinjewadi
Blood Component : Need Plasma from AB+ve #COVID19 recovered patient.
Number of Units : 2
Primary Number : 8055112300
Via: @sandhya_ps
#BloodMatters
Powered by Twitter https://t.co/9Tud2LSzmj"
New Jersey,2021-01-15 16:47:48,"Here’s why N.J.’s COVID vaccine eligibility list excludes some medical conditions for now #nj #COVID19 #CovidVaccine #coronavirus 
https://t.co/DoB0D81VSZ"
Toronto Ont Canada,2021-01-15 16:47:45,"I am a man and I am really struggling with this eating disorder not winning
#eatingdisorder #CPTSD #PTSD #CSA #COVID19 https://t.co/90XlYEg3AS"
"Rocky Hill, CT",2021-01-15 16:47:45,"The agencies of @CT_CFSA are working to get their frontline care workers vaccinated against #COVID19. During our meeting this morning, many reported having most staff inoculated with no side-effects, other than the feeling of relief that back to normal is w/i sight! #fridayfeels https://t.co/eoIwziP5WB"
,2021-01-15 16:47:41,"Missed any of our workshops? 

Here’s a link to our most recent workshop on managing personal finance during the pandemic. 

https://t.co/3NgfQJiuGy 

#moneymanagement #credit #experian #COVID19 #workshop #YouTube"
,2021-01-15 16:47:39,"Jared sold the #COVID19 vaccine reserve off to Saudi Arabia, Dubai, and the UAE. But it's cool - he got WAY above market price! https://t.co/IlFW3dxUry"
"California, USA",2021-01-15 16:47:39,"@Acosta @ltgrusselhonore If you don’t follow the General, @ltgrusselhonore , you are hereby ordered to do so NOW.  He is an amazing human, a hero of Hurricane Katrina years ago, a tireless voice for First Reponders, and has been screaming from the rooftops on #COVID19"
New York,2021-01-15 16:47:34,Register Now for A Live #Webinar On Workplace Resilience in the New Normal (for Manufacturing &amp; Smart Cities) #COVID19 #businessrecovery #manufacturing  #SmartCities @TCS_Digital #IUX https://t.co/4y5jJZFGl9
"Consett, England",2021-01-15 16:47:33,"Labour party campaigners in #NorthWestDurham are urging local residents to register in advance for a postal vote in May’s @DurhamCouncil elections in order to avoid queues and stay safe during the ongoing #COVID19 crisis. 
#PostalVotes
#LocalElections2021 https://t.co/yRIJzBHguT"
Germany,2021-01-15 16:47:32,"#UK reports 55,761 new #COVID19 cases and 1,280 new deaths"
"Washington, DC",2021-01-15 16:47:32,"Together is how we will overcome #COVID19. From collaborations to investments in research, America’s biopharmaceutical companies are discovering breakthroughs for #COVID19 in the lab. Stay updated on progress at https://t.co/X6nafpz1RX https://t.co/5imFhuAIgr"
"Minnesota, USA",2021-01-15 16:47:27,"Can't get over how badly @CVSHealth has distributed #COVID19 vaccines in WA state. Simply did not have the capacity. Consequences? Some #LTC centers were bumped a month later than their originally scheduled date.  

We need a a federal #VaccineStrategy!

https://t.co/CxZUyokv1l"
,2021-01-15 16:47:24,Sad day when a student wishes me a happy birthday and says “I hope you get to see your family.”  Says a lot about what our kids are going through. #COVID19
